2022-03-05 19:50:46,507 :: 10 :: 216
2022-03-05 19:50:48,509 :: 10 :: 140
2022-03-05 19:50:48,509 :: 10 :: 145
2022-03-05 19:50:48,509 :: 10 :: 273
2022-03-05 19:50:48,509 :: 10 :: 76
2022-03-05 19:50:48,509 :: 10 :: 287
2022-03-05 19:50:48,521 :: 10 :: 375
2022-03-05 19:50:48,521 :: 10 :: 297
2022-03-05 19:50:48,521 :: 10 :: 147
2022-03-05 19:50:48,521 :: 10 :: 266
2022-03-05 19:50:48,521 :: 10 :: 454
2022-03-05 19:50:48,521 :: 10 :: 465
2022-03-05 19:50:48,521 :: 10 :: 224
2022-03-05 19:50:48,521 :: 10 :: 312
2022-03-05 19:50:49,524 :: 10 :: 140
2022-03-05 19:50:49,524 :: 10 :: 145
2022-03-05 19:50:49,524 :: 10 :: 273
2022-03-05 19:50:49,524 :: 10 :: 76
2022-03-05 19:50:49,524 :: 10 :: 287
2022-03-05 19:50:49,539 :: 10 :: 375
2022-03-05 19:50:49,539 :: 10 :: 297
2022-03-05 19:50:49,539 :: 10 :: 147
2022-03-05 19:50:49,539 :: 10 :: 266
2022-03-05 19:50:49,539 :: 10 :: 454
2022-03-05 19:50:49,539 :: 10 :: 465
2022-03-05 19:50:49,539 :: 10 :: 224
2022-03-05 19:50:49,539 :: 10 :: 312
2022-03-05 19:50:50,546 :: 10 :: 140
2022-03-05 19:50:50,546 :: 10 :: 145
2022-03-05 19:50:50,546 :: 10 :: 273
2022-03-05 19:50:50,546 :: 10 :: 76
2022-03-05 19:50:50,546 :: 10 :: 287
2022-03-05 19:50:50,557 :: 10 :: 375
2022-03-05 19:50:50,558 :: 10 :: 297
2022-03-05 19:50:50,558 :: 10 :: 147
2022-03-05 19:50:50,558 :: 10 :: 266
2022-03-05 19:50:50,558 :: 10 :: 454
2022-03-05 19:50:50,558 :: 10 :: 465
2022-03-05 19:50:50,558 :: 10 :: 224
2022-03-05 19:50:50,558 :: 10 :: 312
2022-03-05 19:50:50,558 :: 10 :: 368
2022-03-05 19:50:51,572 :: 10 :: 140
2022-03-05 19:50:51,572 :: 10 :: 145
2022-03-05 19:50:51,572 :: 10 :: 273
2022-03-05 19:50:51,572 :: 10 :: 76
2022-03-05 19:50:51,572 :: 10 :: 287
2022-03-05 19:50:51,576 :: 10 :: 375
2022-03-05 19:50:51,576 :: 10 :: 297
2022-03-05 19:50:51,576 :: 10 :: 147
